Sample Name, Sample-6
Time, November 05 14:57:34 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
395.0, 0.1095, 77.71
396.0, 0.1094, 77.73
397.0, 0.1089, 77.82
398.0, 0.1089, 77.82
399.0, 0.1087, 77.85
400.0, 0.1084, 77.91
401.0, 0.1082, 77.95
402.0, 0.1080, 77.98
403.0, 0.1076, 78.06
404.0, 0.1074, 78.10
405.0, 0.1072, 78.12
406.0, 0.1070, 78.15
407.0, 0.1066, 78.23
408.0, 0.1066, 78.23
409.0, 0.1064, 78.26
410.0, 0.1061, 78.32
411.0, 0.1059, 78.36
412.0, 0.1058, 78.38
413.0, 0.1057, 78.40
414.0, 0.1055, 78.43
415.0, 0.1053, 78.47
416.0, 0.1053, 78.46
417.0, 0.1049, 78.53
418.0, 0.1047, 78.58
419.0, 0.1046, 78.60
420.0, 0.1044, 78.64
421.0, 0.1042, 78.66
422.0, 0.1042, 78.67
423.0, 0.1039, 78.72
424.0, 0.1039, 78.73
425.0, 0.1038, 78.74
426.0, 0.1036, 78.77
427.0, 0.1035, 78.80
428.0, 0.1033, 78.82
429.0, 0.1031, 78.86
430.0, 0.1033, 78.83
431.0, 0.1031, 78.87
432.0, 0.1029, 78.91
433.0, 0.1029, 78.91
434.0, 0.1028, 78.92
435.0, 0.1027, 78.94
436.0, 0.1026, 78.96
437.0, 0.1025, 78.98
438.0, 0.1023, 79.01
439.0, 0.1023, 79.00
440.0, 0.1022, 79.02
441.0, 0.1022, 79.04
442.0, 0.1020, 79.08
443.0, 0.1021, 79.06
444.0, 0.1019, 79.09
445.0, 0.1017, 79.12
446.0, 0.1017, 79.12
447.0, 0.1017, 79.12
448.0, 0.1017, 79.12
449.0, 0.1013, 79.20
450.0, 0.1014, 79.18
451.0, 0.1003, 79.38
452.0, 0.0999, 79.44
453.0, 0.0998, 79.46
454.0, 0.0999, 79.45
455.0, 0.0994, 79.54
456.0, 0.0994, 79.55
457.0, 0.0989, 79.64
458.0, 0.0990, 79.61
459.0, 0.0991, 79.60
460.0, 0.0988, 79.65
461.0, 0.0987, 79.68
462.0, 0.0983, 79.75
463.0, 0.0983, 79.75
464.0, 0.0983, 79.74
465.0, 0.0981, 79.78
466.0, 0.0980, 79.79
467.0, 0.0980, 79.80
468.0, 0.0978, 79.84
469.0, 0.0975, 79.89
470.0, 0.0974, 79.91
471.0, 0.0973, 79.93
472.0, 0.0973, 79.94
473.0, 0.0970, 79.98
474.0, 0.0968, 80.02
475.0, 0.0969, 80.00
476.0, 0.0967, 80.04
477.0, 0.0964, 80.10
478.0, 0.0964, 80.09
479.0, 0.0964, 80.09
480.0, 0.0960, 80.17
481.0, 0.0960, 80.17
482.0, 0.0959, 80.19
483.0, 0.0957, 80.23
484.0, 0.0958, 80.21
485.0, 0.0954, 80.27
486.0, 0.0954, 80.28
487.0, 0.0952, 80.31
488.0, 0.0951, 80.34
489.0, 0.0949, 80.37
490.0, 0.0948, 80.40
491.0, 0.0947, 80.42
492.0, 0.0948, 80.40
493.0, 0.0944, 80.46
494.0, 0.0944, 80.47
495.0, 0.0943, 80.48
496.0, 0.0941, 80.53
497.0, 0.0938, 80.57
498.0, 0.0937, 80.59
499.0, 0.0936, 80.61
500.0, 0.0934, 80.65
501.0, 0.0936, 80.62
502.0, 0.0933, 80.67
503.0, 0.0932, 80.68
504.0, 0.0929, 80.73
505.0, 0.0928, 80.75
506.0, 0.0928, 80.76
507.0, 0.0926, 80.79
508.0, 0.0926, 80.80
509.0, 0.0924, 80.84
510.0, 0.0924, 80.83
511.0, 0.0922, 80.87
512.0, 0.0921, 80.89
513.0, 0.0921, 80.90
514.0, 0.0918, 80.94
515.0, 0.0919, 80.94
516.0, 0.0916, 80.98
517.0, 0.0914, 81.01
518.0, 0.0914, 81.02
519.0, 0.0911, 81.07
520.0, 0.0911, 81.07
521.0, 0.0912, 81.07
522.0, 0.0908, 81.14
523.0, 0.0908, 81.14
524.0, 0.0909, 81.11
525.0, 0.0905, 81.20
526.0, 0.0902, 81.24
527.0, 0.0901, 81.27
528.0, 0.0902, 81.25
529.0, 0.0902, 81.24
530.0, 0.0903, 81.23
531.0, 0.0900, 81.29
532.0, 0.0899, 81.31
533.0, 0.0898, 81.33
534.0, 0.0895, 81.37
535.0, 0.0893, 81.42
536.0, 0.0892, 81.43
537.0, 0.0892, 81.44
538.0, 0.0890, 81.48
539.0, 0.0891, 81.46
540.0, 0.0887, 81.52
541.0, 0.0888, 81.51
542.0, 0.0888, 81.51
543.0, 0.0887, 81.53
544.0, 0.0888, 81.52
545.0, 0.0887, 81.53
546.0, 0.0885, 81.56
547.0, 0.0884, 81.57
548.0, 0.0882, 81.63
549.0, 0.0881, 81.63
550.0, 0.0879, 81.68
551.0, 0.0877, 81.71
552.0, 0.0876, 81.73
553.0, 0.0874, 81.77
554.0, 0.0874, 81.77
555.0, 0.0873, 81.79
556.0, 0.0871, 81.83
557.0, 0.0869, 81.87
558.0, 0.0869, 81.87
559.0, 0.0867, 81.90
560.0, 0.0865, 81.93
561.0, 0.0864, 81.96
562.0, 0.0863, 81.99
563.0, 0.0861, 82.02
564.0, 0.0860, 82.03
565.0, 0.0860, 82.04
566.0, 0.0859, 82.05
567.0, 0.0859, 82.05
568.0, 0.0859, 82.06
569.0, 0.0858, 82.08
570.0, 0.0857, 82.09
571.0, 0.0856, 82.11
572.0, 0.0856, 82.12
573.0, 0.0853, 82.17
574.0, 0.0854, 82.15
575.0, 0.0852, 82.18
576.0, 0.0852, 82.19
577.0, 0.0850, 82.22
578.0, 0.0849, 82.25
579.0, 0.0848, 82.26
580.0, 0.0848, 82.26
581.0, 0.0848, 82.25
582.0, 0.0847, 82.28
583.0, 0.0847, 82.28
584.0, 0.0844, 82.33
585.0, 0.0843, 82.35
586.0, 0.0842, 82.37
587.0, 0.0840, 82.42
588.0, 0.0839, 82.44
589.0, 0.0837, 82.47
590.0, 0.0835, 82.51
591.0, 0.0835, 82.50
592.0, 0.0834, 82.53
593.0, 0.0834, 82.52
594.0, 0.0834, 82.52
595.0, 0.0832, 82.56
596.0, 0.0831, 82.59
597.0, 0.0830, 82.60
598.0, 0.0829, 82.62
599.0, 0.0828, 82.64
600.0, 0.0826, 82.67
601.0, 0.0827, 82.67
602.0, 0.0827, 82.67
603.0, 0.0824, 82.71
604.0, 0.0824, 82.71
605.0, 0.0823, 82.73
606.0, 0.0822, 82.75
607.0, 0.0820, 82.78
608.0, 0.0819, 82.81
609.0, 0.0818, 82.83
610.0, 0.0816, 82.87
611.0, 0.0815, 82.89
612.0, 0.0815, 82.90
613.0, 0.0816, 82.88
614.0, 0.0815, 82.89
615.0, 0.0812, 82.94
616.0, 0.0811, 82.97
617.0, 0.0810, 82.98
618.0, 0.0811, 82.97
619.0, 0.0810, 82.99
620.0, 0.0809, 83.01
621.0, 0.0808, 83.03
622.0, 0.0806, 83.05
623.0, 0.0806, 83.06
624.0, 0.0805, 83.08
625.0, 0.0806, 83.07
626.0, 0.0803, 83.12
627.0, 0.0804, 83.11
628.0, 0.0803, 83.12
629.0, 0.0801, 83.16
630.0, 0.0801, 83.16
631.0, 0.0798, 83.21
632.0, 0.0798, 83.21
633.0, 0.0798, 83.22
634.0, 0.0797, 83.23
635.0, 0.0796, 83.24
636.0, 0.0794, 83.29
637.0, 0.0794, 83.30
638.0, 0.0792, 83.33
639.0, 0.0792, 83.34
640.0, 0.0792, 83.33
641.0, 0.0789, 83.39
642.0, 0.0790, 83.37
643.0, 0.0789, 83.40
644.0, 0.0785, 83.46
645.0, 0.0786, 83.45
646.0, 0.0788, 83.41
647.0, 0.0785, 83.47
648.0, 0.0785, 83.46
649.0, 0.0784, 83.49
650.0, 0.0783, 83.50
651.0, 0.0782, 83.51
652.0, 0.0780, 83.57
653.0, 0.0780, 83.57
654.0, 0.0778, 83.60
655.0, 0.0777, 83.62
656.0, 0.0778, 83.61
657.0, 0.0777, 83.62
658.0, 0.0774, 83.67
659.0, 0.0775, 83.66
660.0, 0.0773, 83.70
661.0, 0.0772, 83.71
662.0, 0.0771, 83.74
