Sample Name, Eq3S2.sca
Time, October 29 15:36:48 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 1.9105, 1.23
191.0, 1.7872, 1.63
192.0, 1.7213, 1.90
193.0, 1.7266, 1.88
194.0, 1.7146, 1.93
195.0, 1.6959, 2.01
196.0, 1.4957, 3.19
197.0, 1.5160, 3.05
198.0, 1.5494, 2.82
199.0, 1.5596, 2.76
200.0, 1.5808, 2.63
201.0, 1.6127, 2.44
202.0, 1.5857, 2.60
203.0, 1.2966, 5.05
204.0, 1.3903, 4.07
205.0, 1.3999, 3.98
206.0, 1.3794, 4.17
207.0, 1.3929, 4.05
208.0, 1.4243, 3.76
209.0, 1.3942, 4.03
210.0, 1.3911, 4.06
211.0, 1.4023, 3.96
212.0, 1.4373, 3.65
213.0, 1.4660, 3.42
214.0, 1.4398, 3.63
215.0, 1.4333, 3.69
216.0, 1.4450, 3.59
217.0, 1.4141, 3.85
218.0, 1.4431, 3.60
219.0, 1.4980, 3.18
220.0, 1.4255, 3.75
221.0, 1.4548, 3.51
222.0, 1.4815, 3.30
223.0, 1.4784, 3.32
224.0, 1.4649, 3.43
225.0, 1.4253, 3.76
226.0, 1.4642, 3.43
227.0, 1.4519, 3.53
228.0, 1.4802, 3.31
229.0, 1.5264, 2.98
230.0, 1.5097, 3.09
231.0, 1.5452, 2.85
232.0, 1.5156, 3.05
233.0, 1.5405, 2.88
234.0, 1.5548, 2.79
235.0, 1.5723, 2.68
236.0, 1.5674, 2.71
237.0, 1.6044, 2.49
238.0, 1.6413, 2.28
239.0, 1.7149, 1.93
240.0, 1.7831, 1.65
241.0, 1.8680, 1.36
242.0, 1.9497, 1.12
243.0, 2.0537, 0.88
244.0, 2.1783, 0.66
245.0, 2.2847, 0.52
246.0, 1.1557, 6.99
247.0, 0.6693, 21.41
248.0, 0.4969, 31.85
249.0, 0.3785, 41.83
250.0, 0.3068, 49.34
251.0, 0.2629, 54.59
252.0, 0.2306, 58.81
253.0, 0.2029, 62.67
254.0, 0.1873, 64.96
255.0, 0.1679, 67.94
256.0, 0.1561, 69.80
257.0, 0.1462, 71.41
258.0, 0.1383, 72.72
259.0, 0.1300, 74.12
260.0, 0.1246, 75.06
261.0, 0.1193, 75.97
262.0, 0.1147, 76.79
263.0, 0.1112, 77.41
264.0, 0.1066, 78.23
265.0, 0.1026, 78.95
266.0, 0.0993, 79.56
267.0, 0.0960, 80.18
268.0, 0.0960, 80.16
269.0, 0.1062, 78.30
270.0, 0.0708, 84.96
271.0, 0.0856, 82.12
272.0, 0.0841, 82.40
273.0, 0.0820, 82.79
274.0, 0.0800, 83.17
275.0, 0.0777, 83.62
276.0, 0.0752, 84.11
277.0, 0.0736, 84.41
278.0, 0.0717, 84.78
279.0, 0.0705, 85.01
280.0, 0.0687, 85.37
281.0, 0.0672, 85.66
282.0, 0.0665, 85.80
283.0, 0.0646, 86.18
284.0, 0.0635, 86.40
285.0, 0.0624, 86.62
286.0, 0.0609, 86.91
287.0, 0.0602, 87.05
288.0, 0.0589, 87.31
289.0, 0.0573, 87.65
290.0, 0.0565, 87.81
291.0, 0.0552, 88.07
292.0, 0.0541, 88.29
293.0, 0.0534, 88.44
294.0, 0.0525, 88.61
295.0, 0.0514, 88.84
296.0, 0.0507, 88.98
297.0, 0.0498, 89.18
298.0, 0.0490, 89.34
299.0, 0.0482, 89.49
300.0, 0.0475, 89.65
301.0, 0.0464, 89.86
302.0, 0.0458, 89.98
303.0, 0.0450, 90.15
304.0, 0.0441, 90.33
305.0, 0.0436, 90.46
306.0, 0.0428, 90.61
307.0, 0.0418, 90.83
308.0, 0.0411, 90.97
309.0, 0.0405, 91.09
310.0, 0.0399, 91.23
311.0, 0.0392, 91.37
312.0, 0.0386, 91.49
313.0, 0.0378, 91.67
314.0, 0.0373, 91.78
315.0, 0.0363, 91.97
316.0, 0.0363, 91.98
317.0, 0.0357, 92.11
318.0, 0.0351, 92.23
319.0, 0.0346, 92.35
320.0, 0.0345, 92.37
321.0, 0.0340, 92.47
322.0, 0.0335, 92.58
323.0, 0.0334, 92.60
324.0, 0.0336, 92.55
325.0, 0.0334, 92.60
326.0, 0.0332, 92.64
327.0, 0.0332, 92.63
328.0, 0.0334, 92.60
329.0, 0.0334, 92.59
330.0, 0.0337, 92.54
331.0, 0.0339, 92.50
332.0, 0.0343, 92.41
333.0, 0.0343, 92.40
334.0, 0.0350, 92.26
335.0, 0.0361, 92.02
336.0, 0.0326, 92.78
337.0, 0.0356, 92.13
338.0, 0.0361, 92.03
339.0, 0.0363, 91.98
340.0, 0.0422, 90.73
341.0, 0.0444, 90.28
342.0, 0.0439, 90.39
343.0, 0.0432, 90.53
344.0, 0.0432, 90.53
345.0, 0.0430, 90.58
346.0, 0.0430, 90.58
347.0, 0.0431, 90.54
348.0, 0.0426, 90.65
349.0, 0.0430, 90.58
350.0, 0.0434, 90.48
351.0, 0.0430, 90.58
352.0, 0.0427, 90.63
353.0, 0.0431, 90.55
354.0, 0.0431, 90.55
355.0, 0.0434, 90.49
356.0, 0.0437, 90.43
357.0, 0.0441, 90.34
358.0, 0.0441, 90.34
359.0, 0.0442, 90.32
360.0, 0.0444, 90.27
361.0, 0.0448, 90.20
362.0, 0.0453, 90.10
363.0, 0.0456, 90.03
364.0, 0.0454, 90.08
365.0, 0.0459, 89.98
366.0, 0.0464, 89.86
367.0, 0.0471, 89.72
368.0, 0.0475, 89.64
369.0, 0.0476, 89.62
370.0, 0.0482, 89.50
371.0, 0.0500, 89.11
372.0, 0.0498, 89.16
373.0, 0.0501, 89.10
374.0, 0.0499, 89.15
375.0, 0.0497, 89.20
376.0, 0.0501, 89.11
377.0, 0.0502, 89.09
378.0, 0.0497, 89.19
379.0, 0.0495, 89.22
380.0, 0.0492, 89.28
381.0, 0.0490, 89.33
382.0, 0.0493, 89.27
383.0, 0.0493, 89.27
384.0, 0.0492, 89.29
385.0, 0.0487, 89.39
386.0, 0.0486, 89.41
387.0, 0.0486, 89.40
388.0, 0.0485, 89.44
389.0, 0.0486, 89.41
390.0, 0.0482, 89.49
391.0, 0.0482, 89.50
392.0, 0.0484, 89.46
393.0, 0.0484, 89.45
394.0, 0.0484, 89.46
395.0, 0.0482, 89.50
396.0, 0.0483, 89.48
397.0, 0.0480, 89.53
398.0, 0.0479, 89.55
399.0, 0.0477, 89.60
400.0, 0.0479, 89.56
401.0, 0.0479, 89.56
402.0, 0.0478, 89.57
403.0, 0.0478, 89.58
404.0, 0.0475, 89.64
405.0, 0.0473, 89.67
406.0, 0.0473, 89.69
407.0, 0.0477, 89.61
408.0, 0.0472, 89.70
409.0, 0.0475, 89.65
410.0, 0.0473, 89.69
411.0, 0.0472, 89.71
412.0, 0.0472, 89.70
413.0, 0.0471, 89.72
414.0, 0.0472, 89.69
415.0, 0.0469, 89.77
416.0, 0.0468, 89.79
417.0, 0.0467, 89.81
418.0, 0.0465, 89.85
419.0, 0.0463, 89.88
420.0, 0.0464, 89.86
421.0, 0.0465, 89.84
422.0, 0.0464, 89.87
423.0, 0.0465, 89.85
424.0, 0.0465, 89.85
425.0, 0.0464, 89.86
426.0, 0.0465, 89.86
427.0, 0.0463, 89.89
428.0, 0.0462, 89.91
429.0, 0.0462, 89.91
430.0, 0.0460, 89.94
431.0, 0.0460, 89.95
432.0, 0.0462, 89.91
433.0, 0.0462, 89.91
434.0, 0.0462, 89.91
435.0, 0.0460, 89.95
436.0, 0.0459, 89.96
437.0, 0.0458, 90.00
438.0, 0.0458, 90.00
439.0, 0.0457, 90.01
440.0, 0.0458, 90.00
441.0, 0.0457, 90.02
442.0, 0.0458, 89.98
443.0, 0.0460, 89.95
444.0, 0.0456, 90.02
445.0, 0.0458, 89.98
446.0, 0.0460, 89.95
447.0, 0.0459, 89.96
448.0, 0.0456, 90.02
449.0, 0.0460, 89.96
450.0, 0.0454, 90.07
451.0, 0.0413, 90.92
452.0, 0.0413, 90.93
453.0, 0.0413, 90.94
454.0, 0.0405, 91.09
455.0, 0.0414, 90.91
456.0, 0.0409, 91.00
457.0, 0.0406, 91.07
458.0, 0.0406, 91.08
459.0, 0.0403, 91.13
460.0, 0.0402, 91.15
461.0, 0.0403, 91.14
462.0, 0.0402, 91.15
463.0, 0.0396, 91.28
464.0, 0.0397, 91.27
465.0, 0.0397, 91.27
466.0, 0.0396, 91.29
467.0, 0.0395, 91.30
468.0, 0.0396, 91.28
469.0, 0.0392, 91.36
470.0, 0.0389, 91.42
471.0, 0.0391, 91.39
472.0, 0.0388, 91.46
473.0, 0.0386, 91.49
474.0, 0.0383, 91.55
475.0, 0.0381, 91.61
476.0, 0.0384, 91.53
477.0, 0.0383, 91.56
478.0, 0.0383, 91.56
479.0, 0.0383, 91.56
480.0, 0.0380, 91.62
481.0, 0.0377, 91.68
482.0, 0.0379, 91.64
483.0, 0.0373, 91.77
484.0, 0.0372, 91.79
485.0, 0.0370, 91.83
486.0, 0.0369, 91.85
487.0, 0.0369, 91.85
488.0, 0.0369, 91.86
489.0, 0.0366, 91.93
490.0, 0.0361, 92.02
491.0, 0.0363, 91.99
492.0, 0.0357, 92.10
493.0, 0.0355, 92.15
494.0, 0.0353, 92.18
495.0, 0.0357, 92.11
496.0, 0.0356, 92.13
497.0, 0.0357, 92.10
498.0, 0.0359, 92.07
499.0, 0.0353, 92.19
500.0, 0.0353, 92.19
501.0, 0.0350, 92.25
502.0, 0.0349, 92.27
503.0, 0.0349, 92.29
504.0, 0.0348, 92.30
505.0, 0.0346, 92.35
506.0, 0.0346, 92.34
507.0, 0.0345, 92.37
508.0, 0.0340, 92.46
509.0, 0.0340, 92.47
510.0, 0.0336, 92.54
511.0, 0.0337, 92.53
512.0, 0.0335, 92.58
513.0, 0.0335, 92.58
514.0, 0.0334, 92.60
515.0, 0.0330, 92.67
516.0, 0.0331, 92.66
517.0, 0.0330, 92.69
518.0, 0.0328, 92.72
519.0, 0.0324, 92.81
520.0, 0.0327, 92.75
521.0, 0.0327, 92.74
522.0, 0.0324, 92.82
523.0, 0.0323, 92.82
524.0, 0.0321, 92.88
525.0, 0.0320, 92.90
526.0, 0.0322, 92.85
527.0, 0.0322, 92.86
528.0, 0.0321, 92.87
529.0, 0.0317, 92.96
530.0, 0.0314, 93.02
531.0, 0.0314, 93.02
532.0, 0.0316, 92.99
533.0, 0.0313, 93.05
534.0, 0.0309, 93.13
535.0, 0.0309, 93.12
536.0, 0.0308, 93.15
537.0, 0.0310, 93.11
538.0, 0.0306, 93.20
539.0, 0.0305, 93.22
540.0, 0.0307, 93.18
541.0, 0.0304, 93.24
542.0, 0.0306, 93.20
543.0, 0.0304, 93.23
544.0, 0.0302, 93.29
545.0, 0.0302, 93.27
546.0, 0.0302, 93.29
547.0, 0.0301, 93.30
548.0, 0.0300, 93.33
549.0, 0.0296, 93.40
550.0, 0.0297, 93.39
551.0, 0.0296, 93.40
552.0, 0.0292, 93.50
553.0, 0.0292, 93.49
554.0, 0.0290, 93.54
555.0, 0.0289, 93.56
556.0, 0.0289, 93.57
557.0, 0.0287, 93.61
558.0, 0.0285, 93.65
559.0, 0.0284, 93.66
560.0, 0.0282, 93.72
561.0, 0.0282, 93.71
562.0, 0.0283, 93.69
563.0, 0.0280, 93.76
564.0, 0.0281, 93.74
565.0, 0.0281, 93.73
566.0, 0.0283, 93.69
567.0, 0.0280, 93.76
568.0, 0.0284, 93.68
569.0, 0.0282, 93.71
570.0, 0.0281, 93.74
571.0, 0.0284, 93.67
572.0, 0.0280, 93.75
573.0, 0.0280, 93.76
574.0, 0.0280, 93.76
575.0, 0.0279, 93.78
576.0, 0.0279, 93.77
577.0, 0.0278, 93.81
578.0, 0.0276, 93.84
579.0, 0.0275, 93.86
580.0, 0.0278, 93.80
581.0, 0.0274, 93.89
582.0, 0.0275, 93.86
583.0, 0.0271, 93.95
584.0, 0.0273, 93.91
585.0, 0.0270, 93.96
586.0, 0.0257, 94.25
587.0, 0.0255, 94.29
588.0, 0.0257, 94.24
589.0, 0.0252, 94.37
590.0, 0.0252, 94.37
591.0, 0.0254, 94.32
592.0, 0.0253, 94.34
593.0, 0.0251, 94.39
594.0, 0.0250, 94.41
595.0, 0.0245, 94.51
596.0, 0.0248, 94.45
597.0, 0.0247, 94.48
598.0, 0.0245, 94.51
599.0, 0.0250, 94.41
600.0, 0.0248, 94.45
601.0, 0.0248, 94.44
602.0, 0.0247, 94.47
603.0, 0.0247, 94.48
604.0, 0.0246, 94.50
605.0, 0.0244, 94.53
606.0, 0.0247, 94.48
607.0, 0.0248, 94.46
608.0, 0.0244, 94.54
609.0, 0.0244, 94.54
610.0, 0.0244, 94.54
611.0, 0.0240, 94.61
612.0, 0.0245, 94.50
613.0, 0.0243, 94.57
614.0, 0.0243, 94.56
615.0, 0.0245, 94.52
616.0, 0.0244, 94.53
617.0, 0.0248, 94.44
618.0, 0.0241, 94.61
619.0, 0.0242, 94.58
620.0, 0.0245, 94.52
621.0, 0.0241, 94.61
622.0, 0.0243, 94.56
623.0, 0.0243, 94.57
624.0, 0.0240, 94.63
625.0, 0.0239, 94.64
626.0, 0.0238, 94.66
627.0, 0.0238, 94.67
628.0, 0.0239, 94.65
629.0, 0.0237, 94.68
630.0, 0.0237, 94.70
631.0, 0.0237, 94.68
632.0, 0.0238, 94.67
633.0, 0.0235, 94.72
634.0, 0.0239, 94.64
635.0, 0.0237, 94.68
636.0, 0.0240, 94.62
637.0, 0.0237, 94.69
638.0, 0.0238, 94.68
639.0, 0.0238, 94.66
640.0, 0.0237, 94.68
641.0, 0.0235, 94.73
642.0, 0.0237, 94.68
643.0, 0.0234, 94.76
644.0, 0.0237, 94.69
645.0, 0.0236, 94.71
646.0, 0.0232, 94.80
647.0, 0.0229, 94.87
648.0, 0.0229, 94.87
649.0, 0.0233, 94.77
650.0, 0.0233, 94.79
651.0, 0.0230, 94.85
652.0, 0.0230, 94.83
653.0, 0.0231, 94.82
654.0, 0.0228, 94.89
655.0, 0.0230, 94.85
656.0, 0.0228, 94.88
657.0, 0.0223, 95.00
658.0, 0.0227, 94.91
659.0, 0.0225, 94.94
660.0, 0.0227, 94.90
661.0, 0.0226, 94.92
662.0, 0.0226, 94.92
663.0, 0.0227, 94.91
664.0, 0.0227, 94.91
665.0, 0.0225, 94.94
666.0, 0.0227, 94.90
667.0, 0.0227, 94.92
668.0, 0.0224, 94.97
669.0, 0.0224, 94.98
670.0, 0.0224, 94.97
671.0, 0.0221, 95.04
672.0, 0.0216, 95.15
673.0, 0.0220, 95.07
674.0, 0.0220, 95.07
675.0, 0.0221, 95.05
676.0, 0.0218, 95.11
677.0, 0.0218, 95.11
678.0, 0.0217, 95.14
679.0, 0.0218, 95.11
680.0, 0.0213, 95.22
681.0, 0.0214, 95.20
682.0, 0.0215, 95.18
683.0, 0.0215, 95.17
684.0, 0.0217, 95.12
685.0, 0.0213, 95.22
686.0, 0.0213, 95.21
687.0, 0.0214, 95.19
688.0, 0.0212, 95.24
689.0, 0.0212, 95.24
690.0, 0.0211, 95.26
691.0, 0.0212, 95.24
692.0, 0.0209, 95.29
693.0, 0.0211, 95.27
694.0, 0.0209, 95.30
695.0, 0.0208, 95.33
696.0, 0.0208, 95.32
697.0, 0.0208, 95.32
698.0, 0.0210, 95.29
699.0, 0.0208, 95.33
700.0, 0.0208, 95.32
701.0, 0.0207, 95.35
702.0, 0.0206, 95.36
703.0, 0.0204, 95.42
704.0, 0.0207, 95.35
705.0, 0.0204, 95.41
706.0, 0.0203, 95.43
707.0, 0.0202, 95.47
708.0, 0.0204, 95.42
709.0, 0.0202, 95.46
710.0, 0.0202, 95.46
711.0, 0.0204, 95.42
712.0, 0.0201, 95.48
713.0, 0.0201, 95.49
714.0, 0.0198, 95.54
715.0, 0.0199, 95.53
716.0, 0.0201, 95.48
717.0, 0.0200, 95.49
718.0, 0.0199, 95.53
719.0, 0.0199, 95.52
720.0, 0.0198, 95.54
721.0, 0.0200, 95.50
722.0, 0.0199, 95.52
723.0, 0.0200, 95.49
724.0, 0.0201, 95.48
725.0, 0.0197, 95.56
726.0, 0.0195, 95.60
727.0, 0.0196, 95.58
728.0, 0.0195, 95.61
729.0, 0.0193, 95.65
730.0, 0.0194, 95.64
731.0, 0.0196, 95.59
732.0, 0.0195, 95.61
733.0, 0.0196, 95.59
734.0, 0.0195, 95.61
735.0, 0.0195, 95.61
736.0, 0.0195, 95.61
737.0, 0.0195, 95.61
738.0, 0.0193, 95.66
739.0, 0.0190, 95.71
740.0, 0.0189, 95.75
741.0, 0.0192, 95.67
742.0, 0.0191, 95.70
743.0, 0.0191, 95.70
744.0, 0.0189, 95.73
745.0, 0.0188, 95.76
746.0, 0.0191, 95.70
747.0, 0.0189, 95.75
748.0, 0.0189, 95.74
749.0, 0.0187, 95.78
750.0, 0.0187, 95.79
751.0, 0.0185, 95.82
752.0, 0.0186, 95.80
753.0, 0.0186, 95.80
754.0, 0.0185, 95.84
755.0, 0.0185, 95.84
756.0, 0.0184, 95.84
757.0, 0.0183, 95.87
758.0, 0.0186, 95.81
759.0, 0.0187, 95.79
760.0, 0.0185, 95.83
761.0, 0.0182, 95.90
762.0, 0.0183, 95.88
763.0, 0.0185, 95.82
764.0, 0.0184, 95.85
765.0, 0.0182, 95.90
766.0, 0.0181, 95.91
767.0, 0.0183, 95.88
768.0, 0.0180, 95.95
769.0, 0.0178, 95.99
770.0, 0.0184, 95.85
771.0, 0.0178, 95.98
772.0, 0.0184, 95.85
773.0, 0.0178, 95.98
774.0, 0.0179, 95.96
775.0, 0.0178, 95.99
776.0, 0.0176, 96.02
777.0, 0.0178, 95.98
778.0, 0.0179, 95.97
779.0, 0.0177, 96.00
780.0, 0.0178, 95.99
781.0, 0.0176, 96.02
782.0, 0.0178, 95.99
