Sample Name, Equipo1S3.sca
Time, November 05 14:48:46 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 1.7841, 1.64
191.0, 1.7516, 1.77
192.0, 1.7924, 1.61
193.0, 1.6057, 2.48
194.0, 1.5213, 3.01
195.0, 1.4650, 3.43
196.0, 1.4628, 3.45
197.0, 1.5069, 3.11
198.0, 1.5429, 2.86
199.0, 1.5538, 2.79
200.0, 1.5767, 2.65
201.0, 1.6113, 2.45
202.0, 1.5948, 2.54
203.0, 1.5387, 2.89
204.0, 1.3863, 4.11
205.0, 1.3954, 4.02
206.0, 1.3756, 4.21
207.0, 1.3891, 4.08
208.0, 1.4210, 3.79
209.0, 1.3907, 4.07
210.0, 1.3880, 4.09
211.0, 1.3988, 3.99
212.0, 1.4339, 3.68
213.0, 1.4626, 3.45
214.0, 1.4364, 3.66
215.0, 1.4300, 3.72
216.0, 1.4414, 3.62
217.0, 1.4107, 3.88
218.0, 1.4398, 3.63
219.0, 1.4952, 3.20
220.0, 1.4227, 3.78
221.0, 1.4520, 3.53
222.0, 1.4782, 3.33
223.0, 1.4754, 3.35
224.0, 1.4620, 3.45
225.0, 1.4224, 3.78
226.0, 1.4615, 3.46
227.0, 1.4492, 3.55
228.0, 1.4773, 3.33
229.0, 1.5235, 3.00
230.0, 1.5069, 3.11
231.0, 1.5421, 2.87
232.0, 1.5125, 3.07
233.0, 1.5377, 2.90
234.0, 1.5518, 2.81
235.0, 1.5693, 2.70
236.0, 1.5643, 2.73
237.0, 1.6015, 2.50
238.0, 1.6384, 2.30
239.0, 1.7120, 1.94
240.0, 1.7800, 1.66
241.0, 1.8653, 1.36
242.0, 1.9472, 1.13
243.0, 2.0512, 0.89
244.0, 2.1761, 0.67
245.0, 2.2823, 0.52
246.0, 2.3961, 0.40
247.0, 2.5074, 0.31
248.0, 2.6121, 0.24
249.0, 2.7102, 0.19
250.0, 1.5830, 2.61
251.0, 1.3267, 4.71
252.0, 1.1784, 6.63
253.0, 1.1044, 7.86
254.0, 1.0339, 9.25
255.0, 0.9703, 10.71
256.0, 0.9416, 11.44
257.0, 0.9073, 12.38
258.0, 0.8754, 13.32
259.0, 0.8530, 14.03
260.0, 0.8320, 14.72
261.0, 0.8116, 15.43
262.0, 0.7912, 16.17
263.0, 0.7739, 16.83
264.0, 0.7560, 17.54
265.0, 0.7419, 18.12
266.0, 0.7303, 18.61
267.0, 0.7191, 19.10
268.0, 0.7267, 18.76
269.0, 0.6837, 20.72
270.0, 0.6589, 21.93
271.0, 0.6628, 21.74
272.0, 0.6525, 22.26
273.0, 0.6400, 22.91
274.0, 0.6274, 23.58
275.0, 0.6150, 24.27
276.0, 0.6035, 24.92
277.0, 0.5923, 25.57
278.0, 0.5814, 26.22
279.0, 0.5709, 26.86
280.0, 0.5603, 27.52
281.0, 0.5498, 28.20
282.0, 0.5396, 28.87
283.0, 0.5291, 29.57
284.0, 0.5188, 30.28
285.0, 0.5082, 31.03
286.0, 0.4976, 31.79
287.0, 0.4878, 32.53
288.0, 0.4775, 33.31
289.0, 0.4676, 34.07
290.0, 0.4577, 34.86
291.0, 0.4477, 35.67
292.0, 0.4382, 36.46
293.0, 0.4287, 37.27
294.0, 0.4194, 38.07
295.0, 0.4101, 38.90
296.0, 0.4011, 39.71
297.0, 0.3920, 40.55
298.0, 0.3826, 41.44
299.0, 0.3736, 42.30
300.0, 0.3644, 43.22
301.0, 0.3556, 44.09
302.0, 0.3469, 44.98
303.0, 0.3383, 45.89
304.0, 0.3300, 46.77
305.0, 0.3223, 47.61
306.0, 0.3140, 48.53
307.0, 0.3061, 49.42
308.0, 0.2977, 50.38
309.0, 0.2899, 51.29
310.0, 0.2821, 52.23
311.0, 0.2746, 53.14
312.0, 0.2669, 54.09
313.0, 0.2595, 55.02
314.0, 0.2525, 55.91
315.0, 0.2453, 56.85
316.0, 0.2387, 57.71
317.0, 0.2320, 58.61
318.0, 0.2258, 59.46
319.0, 0.2195, 60.33
320.0, 0.2132, 61.21
321.0, 0.2069, 62.10
322.0, 0.2013, 62.91
323.0, 0.1955, 63.75
324.0, 0.1898, 64.59
325.0, 0.1844, 65.40
326.0, 0.1791, 66.21
327.0, 0.1741, 66.98
328.0, 0.1692, 67.74
329.0, 0.1645, 68.47
330.0, 0.1599, 69.20
331.0, 0.1557, 69.87
332.0, 0.1514, 70.56
333.0, 0.1482, 71.09
334.0, 0.1475, 71.21
335.0, 0.1377, 72.83
336.0, 0.1326, 73.68
337.0, 0.1318, 73.82
338.0, 0.1289, 74.32
339.0, 0.1269, 74.66
340.0, 0.1253, 74.93
341.0, 0.1231, 75.32
342.0, 0.1205, 75.78
343.0, 0.1168, 76.42
344.0, 0.1139, 76.93
345.0, 0.1108, 77.48
346.0, 0.1081, 77.97
347.0, 0.1049, 78.55
348.0, 0.1016, 79.14
349.0, 0.0995, 79.53
