Sample Name, Sample-3
Time, November 05 15:19:17 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 4.1805, 0.01
191.0, 4.3238, 0.00
192.0, 4.4034, 0.00
193.0, 4.3094, 0.00
194.0, 4.3212, 0.00
195.0, 4.3088, 0.00
196.0, 4.3304, 0.00
197.0, 4.3870, 0.00
198.0, 4.4240, 0.00
199.0, 4.4568, 0.00
200.0, 4.4845, 0.00
201.0, 4.5111, 0.00
202.0, 4.5343, 0.00
203.0, 4.5459, 0.00
204.0, 4.3223, 0.00
205.0, 4.3437, 0.00
206.0, 4.3635, 0.00
207.0, 4.3818, 0.00
208.0, 4.3989, 0.00
209.0, 4.4145, 0.00
210.0, 4.4298, 0.00
211.0, 4.4433, 0.00
212.0, 4.4557, 0.00
213.0, 4.4678, 0.00
214.0, 4.4794, 0.00
215.0, 4.4898, 0.00
216.0, 4.4993, 0.00
217.0, 4.5091, 0.00
218.0, 4.5181, 0.00
219.0, 4.5263, 0.00
220.0, 4.5338, 0.00
221.0, 4.5410, 0.00
222.0, 4.5477, 0.00
223.0, 4.5544, 0.00
224.0, 4.5611, 0.00
225.0, 4.5674, 0.00
226.0, 4.5744, 0.00
227.0, 4.5812, 0.00
228.0, 4.5879, 0.00
229.0, 4.5941, 0.00
230.0, 3.7329, 0.02
231.0, 3.3576, 0.04
232.0, 3.2182, 0.06
233.0, 3.0323, 0.09
234.0, 2.9463, 0.11
235.0, 2.8184, 0.15
236.0, 2.7300, 0.19
237.0, 2.6319, 0.23
238.0, 2.5565, 0.28
239.0, 2.4752, 0.33
240.0, 2.3982, 0.40
241.0, 2.3307, 0.47
242.0, 2.2690, 0.54
243.0, 2.2103, 0.62
244.0, 2.1549, 0.70
245.0, 2.0973, 0.80
246.0, 2.0502, 0.89
247.0, 1.9972, 1.01
248.0, 1.9512, 1.12
249.0, 1.8993, 1.26
250.0, 1.8567, 1.39
251.0, 1.8148, 1.53
252.0, 1.7732, 1.69
253.0, 1.7337, 1.85
254.0, 1.6956, 2.02
255.0, 1.6585, 2.20
256.0, 1.6223, 2.39
257.0, 1.5888, 2.58
258.0, 1.5568, 2.77
259.0, 1.5227, 3.00
260.0, 1.4921, 3.22
261.0, 1.4603, 3.47
262.0, 1.4287, 3.73
263.0, 1.3997, 3.98
264.0, 1.3699, 4.27
265.0, 1.3410, 4.56
266.0, 1.3135, 4.86
267.0, 1.2891, 5.14
268.0, 1.2762, 5.29
269.0, 1.2322, 5.86
270.0, 1.2067, 6.21
