Sample Name, Sample-1
Time, November 05 15:12:42 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
190.0, 4.1632, 0.01
191.0, 4.3104, 0.00
192.0, 4.3941, 0.00
193.0, 4.2957, 0.01
194.0, 4.3004, 0.01
195.0, 4.2843, 0.01
196.0, 4.3270, 0.00
197.0, 4.3856, 0.00
198.0, 4.4228, 0.00
199.0, 4.4557, 0.00
200.0, 4.4838, 0.00
201.0, 4.5102, 0.00
202.0, 4.5333, 0.00
203.0, 4.5445, 0.00
204.0, 4.3214, 0.00
205.0, 4.3424, 0.00
206.0, 4.3631, 0.00
207.0, 4.3813, 0.00
208.0, 4.3981, 0.00
209.0, 4.4139, 0.00
210.0, 4.4286, 0.00
211.0, 4.4424, 0.00
212.0, 4.4552, 0.00
213.0, 4.4673, 0.00
214.0, 4.4784, 0.00
215.0, 4.4892, 0.00
216.0, 4.4991, 0.00
217.0, 4.5087, 0.00
218.0, 4.5176, 0.00
219.0, 4.5257, 0.00
220.0, 4.5332, 0.00
221.0, 4.5407, 0.00
222.0, 4.5473, 0.00
223.0, 4.5538, 0.00
224.0, 4.5605, 0.00
225.0, 4.5670, 0.00
226.0, 4.5738, 0.00
227.0, 4.5805, 0.00
228.0, 4.5875, 0.00
229.0, 4.5940, 0.00
230.0, 4.6004, 0.00
231.0, 4.6063, 0.00
232.0, 3.9234, 0.01
233.0, 3.3067, 0.05
234.0, 3.0185, 0.10
235.0, 2.8213, 0.15
236.0, 2.6852, 0.21
237.0, 2.5576, 0.28
238.0, 2.4641, 0.34
239.0, 2.3668, 0.43
240.0, 2.2840, 0.52
241.0, 2.2094, 0.62
242.0, 2.1418, 0.72
243.0, 2.0781, 0.84
244.0, 2.0192, 0.96
245.0, 1.9644, 1.09
246.0, 1.9097, 1.23
247.0, 1.8621, 1.37
248.0, 1.8159, 1.53
249.0, 1.7684, 1.70
250.0, 1.7250, 1.88
251.0, 1.6849, 2.07
252.0, 1.6443, 2.27
253.0, 1.6068, 2.47
254.0, 1.5708, 2.69
255.0, 1.5373, 2.90
256.0, 1.5058, 3.12
257.0, 1.4736, 3.36
