Sample Name, Equipo1S2.sca
Time, November 05 14:42:31 2021
Operator, Jose Mendez
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 10
memo, 
WL(nm), Abs, T%
394.0, 0.0881, 81.63
395.0, 0.0865, 81.94
396.0, 0.0852, 82.18
397.0, 0.0835, 82.51
398.0, 0.0824, 82.72
399.0, 0.0811, 82.97
400.0, 0.0799, 83.20
401.0, 0.0788, 83.41
402.0, 0.0777, 83.61
403.0, 0.0771, 83.74
404.0, 0.0758, 83.98
405.0, 0.0750, 84.15
406.0, 0.0740, 84.33
407.0, 0.0735, 84.43
408.0, 0.0726, 84.60
409.0, 0.0724, 84.64
410.0, 0.0716, 84.81
411.0, 0.0710, 84.91
412.0, 0.0707, 84.97
413.0, 0.0703, 85.06
414.0, 0.0702, 85.08
415.0, 0.0697, 85.18
416.0, 0.0695, 85.21
417.0, 0.0690, 85.31
418.0, 0.0687, 85.37
419.0, 0.0686, 85.38
420.0, 0.0686, 85.38
421.0, 0.0686, 85.38
422.0, 0.0686, 85.39
423.0, 0.0686, 85.39
424.0, 0.0685, 85.40
425.0, 0.0687, 85.36
426.0, 0.0688, 85.34
427.0, 0.0689, 85.33
428.0, 0.0690, 85.31
429.0, 0.0691, 85.29
430.0, 0.0695, 85.21
431.0, 0.0696, 85.20
432.0, 0.0697, 85.17
433.0, 0.0702, 85.08
434.0, 0.0702, 85.07
435.0, 0.0706, 84.99
436.0, 0.0708, 84.95
437.0, 0.0709, 84.94
438.0, 0.0713, 84.86
439.0, 0.0718, 84.77
440.0, 0.0721, 84.70
441.0, 0.0724, 84.64
442.0, 0.0730, 84.52
443.0, 0.0736, 84.41
444.0, 0.0738, 84.37
445.0, 0.0742, 84.29
446.0, 0.0748, 84.18
447.0, 0.0753, 84.08
448.0, 0.0757, 84.01
449.0, 0.0760, 83.94
450.0, 0.0755, 84.05
451.0, 0.0742, 84.30
452.0, 0.0747, 84.20
453.0, 0.0752, 84.09
454.0, 0.0754, 84.06
455.0, 0.0764, 83.87
456.0, 0.0763, 83.90
457.0, 0.0768, 83.79
458.0, 0.0777, 83.62
459.0, 0.0784, 83.49
460.0, 0.0787, 83.43
461.0, 0.0793, 83.31
462.0, 0.0798, 83.22
463.0, 0.0800, 83.17
464.0, 0.0811, 82.97
465.0, 0.0814, 82.91
466.0, 0.0818, 82.83
467.0, 0.0828, 82.64
468.0, 0.0835, 82.51
469.0, 0.0835, 82.50
470.0, 0.0840, 82.42
471.0, 0.0847, 82.29
472.0, 0.0851, 82.21
473.0, 0.0859, 82.05
474.0, 0.0864, 81.96
475.0, 0.0866, 81.92
476.0, 0.0875, 81.75
477.0, 0.0881, 81.64
478.0, 0.0887, 81.52
479.0, 0.0896, 81.37
480.0, 0.0898, 81.32
481.0, 0.0903, 81.23
482.0, 0.0908, 81.13
483.0, 0.0914, 81.03
